blood_formate_mM,blood_formate_mgL,eye_formate_mM,cox_activity,atp_adp,energy_charge,eye_ins_prod,regen,viability,vraw,vc
3.7714285714285714,173.59885714285716,3.4275156507323867,0.680311658812444,4.3169745573322835,0.8754452959858441,2.437495902860631,0.3976462536024529,0.6821496711085667,0.17296956374547473,0.508796229970316
4.2857142857142865,197.2714285714286,3.947862590067777,0.6159817343548621,4.07006671679565,0.8677373361015531,2.395047680607558,0.3892613162683804,0.6150989969394987,0.1673339527854656,0.4922188764293694
4.800000000000001,220.94400000000005,4.4678507038089394,0.5560289226048684,3.85233616168282,0.8601410501096798,2.3543312561328187,0.3811402773301529,0.5538969793352041,0.16083977292087853,0.4731160113917192
5.314285714285715,244.61657142857143,4.987348514550835,0.5012667491406204,3.6633711387316414,0.8528399826814902,2.316334790645002,0.3734949461413169,0.4997926978328479,0.1538954758706069,0.4526891103666848
5.828571428571429,268.2891428571429,5.506302095345875,0.4519213300794233,3.5007799620556947,0.8459517280075778,2.281567553737785,0.3664448274241501,0.4529801788492289,0.14686790043037543,0.4320172429444875
6.342857142857143,291.9617142857143,6.02471093448793,0.4078493588423427,3.361398698940978,0.8395406030140803,2.250184998536722,0.360037887014928,0.413009599714279,0.1400359531697162,0.4119208228905265
6.857142857142858,315.63428571428574,6.542606417572659,0.3687005733486901,3.241970272254603,0.8336316086983511,2.22211136220204,0.3542730114546485,0.3791217162484833,0.13358302813426107,0.39293931042540914
7.371428571428573,339.3068571428572,7.060035978733219,0.3340276297097816,3.139474361734345,0.8282227869322055,2.1971372495110257,0.3491189863045137,0.3504671968649938,0.12761090491709076,0.3753720939046706
7.885714285714287,362.9794285714286,7.577052771729472,0.3033548791254675,3.0512555344751187,0.8232949735656095,2.1749882293968543,0.3445284856703366,0.326228268832387,0.12216080177013594,0.3593404183076827
8.4,386.652,8.093709566641792,0.2762182661761103,2.9750464000225216,0.8188189624913611,2.1553688973299496,0.3404474664662337,0.3056745266411584,0.11723347805005158,0.3448465173095204
8.914285714285715,410.32457142857146,8.61005550444352,0.2521863146543213,2.908942039257748,0.8147604997990454,2.1379889741270577,0.3368210090118578,0.2881803863184976,0.11280519853918484,0.33182057290869377
9.428571428571429,433.9971428571429,9.126134637855287,0.2308693923648462,2.8513557736588964,0.8110836115353031,2.122577344418767,0.3335966654760025,0.2732228333253408,0.10883912141802457,0.3201542135601366
9.942857142857145,457.6697142857143,9.641985521241406,0.211922084083444,2.8009711941709643,0.8077527184509411,2.108888485500489,0.3307261718946199,0.2603705359131468,0.10529282151822852,0.30972264409618494
10.457142857142856,481.3422857142857,10.157641376774686,0.1950417601873598,2.7566971916267984,0.8047339009269465,2.096704350681786,0.3281661413900167,0.2492702821139822,0.10212293922217344,0.30039832063280525
10.971428571428572,505.0148571428572,10.673130546943556,0.1799652392031054,2.71762854621235,0.8019955873874736,2.0858337007802996,0.32587815631232,0.2396336453268609,0.09928785061113755,0.29205880490708225
11.485714285714286,528.6874285714285,11.188477062089442,0.1664646684845593,2.6830126076535694,0.7995088638173203,2.0761101279439944,0.3238285293781753,0.2312251041904195,0.09674904920867951,0.2845908287253605
12.0,552.36,11.703701226139303,0.1543432603483529,2.6522216928937663,0.7972475430570881,2.067389519274786,0.3219879019851545,0.2238519823422063,0.09447172771975697,0.27789200516991003
