mgL,ins_b,ins_r,h_b,h_r
52.770905550654064,2.622410692278161,2.622410693609347,0.24370239234156887,0.2437023918827682
57.22173454090647,2.622410787180536,2.622410788222158,0.2437023596329424,0.24370235927394168
62.04795748155179,2.6224108687761403,2.622410869596882,0.24370233151056986,0.2437023312276968
67.28123602894667,2.622410939463811,2.6224109401142264,0.24370230714767782,0.24370230692350858
72.95590226203235,2.622411001104121,2.6224110016220665,0.24370228590300913,0.24370228572449626
79.10918391239532,2.6224110551630258,2.6224110555772393,0.24370226727131383,0.24370226712855292
85.78144859078938,2.622411102810901,2.622411103142801,0.24370225084921526,0.2437022507348242
93.0164686123285,2.622411144993794,2.6224111452604726,0.24370223631065313,0.24370223621874088
100.86170815769246,2.6224111824845306,2.6224111826991963,0.24370222338926828,0.24370222331528268
109.36863465422039,2.6224112159209234,2.622411216093807,0.24370221186523544,0.24370221180565022
118.59305641965848,2.622411245833818,2.622411245973099,0.2437022015555954,0.24370220150759148
128.59548878361684,2.6224112726686393,2.6224112727808393,0.24370219230683,0.2437021922681597
139.4415510886195,2.622411296801957,2.6224112968922766,0.24370218398915267,0.24370218395802334
151.20239717520505,2.6224113185542652,2.622411318626841,0.2437021764921029,0.24370217646708936
163.9551821752101,2.6224113381999428,2.622411338258117,0.24370216972111503,0.24370216970106484
177.78356867555317,2.622411355975282,2.622411356021745,0.24370216359474917,0.24370216357873553
192.7782755731283,2.622411372084779,2.6224113721217317,0.24370215804252504,0.243702158029789
209.03767322148107,2.6224113867063146,2.622411386735534,0.2437021530031347,0.24370215299306408
226.66842877362907,2.6224113999952974,2.6224114000182093,0.24370214842301574,0.24370214841511917
245.786205954698,2.6224114120879896,2.62241141210576,0.24370214425520498,0.24370214424908032
266.5164238551136,2.622411423104421,2.622411423117857,0.24370214045833316,0.24370214045370242
288.9950797222961,2.622411433150581,2.6224114331605732,0.24370213699587062,0.2437021369924267
313.36964114864196,2.6224114423204443,2.6224114423277034,0.24370213383542827,0.24370213383292638
339.80001350885385,2.622411450697546,2.6224114507026326,0.2437021309482157,0.24370213094646243
368.45958899333465,2.6224114583563445,2.6224114583597085,0.24370212830856997,0.24370212830741056
399.53638411965363,2.6224114653634,2.622411465365391,0.2437021258935511,0.24370212589286477
433.2342731845561,2.622411471778314,2.6224114717792286,0.2437021236826169,0.24370212368230149
469.77432574836644,2.622411477654623,2.622411477654686,0.24370212165731564,0.24370212165729388
509.39625692614544,2.6224114830404623,2.6224114830398686,0.2437021198010575,0.2437021198012621
552.36,2.622411487979229,2.622411487978133,0.2437021180988853,0.243702118099263
